"Citation: Lawrence H. Officer, 'Exchange Rates Between the United States Dollar and Forty-one Currencies,' MeasuringWorth, 2025. "
The table(s) present the price of one United States Dollar.
"Argentina, 1600 - 2025"
"1974","6.7866 (New) Cruzeiros"
"1975","8.1230 (New) Cruzeiros"
"1976","10.6677 (New) Cruzeiros"
"1977","14.1370 (New) Cruzeiros"
"1978","18.0611 (New) Cruzeiros"
"1979","26.9327 (New) Cruzeiros"
"1980","52.6880 (New) Cruzeiros"
"1981","93.0788 (New) Cruzeiros"
"1982","179.4260 (New) Cruzeiros"
"1983","576.7600 (New) Cruzeiros"
"1984","1847.1200 (New) Cruzeiros"
"1985","6197.3400 (New) Cruzeiros"
"1986","13.6493 Cruzados"
"1987","39.2092 Cruzados"
"1988","261.9990 Cruzados"
"1989","2.8339 New Cruzados"
"1990","68.3001 (Again New) Cruzados"
"1991","406.6070 (Again New) Cruzados"
"1992","4512.9900 (Again New) Cruzados"
"1993","88440.0000 (Again New) Cruzados"
"1994","1758.0700 Cruzeiros Reais"
"1995","0.9177 Reals"
"1996","1.0051 Reals"
"1997","1.0779 Reals"
"1998","1.1605 Reals"
"1999","1.8207 Reals"
"2000","1.8301 Reals"
"2001","2.3527 Reals"
"2002","2.9213 Reals"
"2003","3.0750 Reals"
"2004","2.9262 Reals"
"2005","2.4352 Reals"
"2006","2.1738 Reals"
"2007","1.9461 Reals"
"2008","1.8327 Reals"
"2009","1.9976 Reals"
"2010","1.7601 Reals"
"2011","1.6720 Reals"
"2011","1.6723 Reals"
"2012","1.9535 Reals"
"2013","2.1570 Reals"
"2014","2.3512 Reals"
"2015","3.3336 Reals"
"2016","3.4913 Reals"
"2017","3.1914 Reals"
"2018","3.6538 Reals"
"2019","3.9400 Reals"
"2020","5.1600 Reals"
"2021","5.3944 Reals"
"2022","5.1640 Reals"
"2023","4.9944 Reals"
"2024","5.3895 Reals"
"Canada, 1600 - 2025"
"1913","1.0000 Canadian Dollar"
"1914","0.9990 Canadian Dollar"
"1915","1.0040 Canadian Dollar"
"1916","1.0020 Canadian Dollar"
"1917","1.0020 Canadian Dollar"
"1919","1.0460 Canadian Dollar"
"1920","1.1200 Canadian Dollar"
"1921","1.1170 Canadian Dollar"
"1922","1.0150 Canadian Dollar"
"1923","1.0200 Canadian Dollar"
"1924","1.0130 Canadian Dollar"
"1925","1.0000 Canadian Dollar"
"1926","1.0000 Canadian Dollar"
"1927","1.0000 Canadian Dollar"
"1928","1.0010 Canadian Dollar"
"1929","1.0080 Canadian Dollar"
"1930","1.0020 Canadian Dollar"
"1931","1.0380 Canadian Dollar"
"1932","1.1350 Canadian Dollar"
"1933","1.0870 Canadian Dollar"
"1934","0.9900 Canadian Dollar"
"1935","1.0050 Canadian Dollar"
"1936","1.0010 Canadian Dollar"
"1937","1.0000 Canadian Dollar"
"1938","1.0060 Canadian Dollar"
"1939","1.0410 Canadian Dollar"
"1940","1.1750 Canadian Dollar"
"1941","1.1449 Canadian Dollar"
"1946","1.0720 Canadian Dollar"
"1947","1.0870 Canadian Dollar"
"1948","1.0906 Canadian Dollar"
"1949","1.0767 Canadian Dollar"
"1950","1.0930 Canadian Dollar"
"1951","1.0530 Canadian Dollar"
"1952","0.9790 Canadian Dollar"
"1953","0.9840 Canadian Dollar"
"1954","0.9730 Canadian Dollar"
"1955","0.9860 Canadian Dollar"
"1956","0.9840 Canadian Dollar"
"1957","0.9590 Canadian Dollar"
"1958","0.9710 Canadian Dollar"
"1959","0.9590 Canadian Dollar"
"1960","0.9700 Canadian Dollar"
"1961","1.0130 Canadian Dollar"
"1962","1.0690 Canadian Dollar"
"1963","1.0790 Canadian Dollar"
"1964","1.0790 Canadian Dollar"
"1965","1.0780 Canadian Dollar"
"1966","1.0770 Canadian Dollar"
"1967","1.0790 Canadian Dollar"
"1968","1.0780 Canadian Dollar"
"1969","1.0770 Canadian Dollar"
"1970","1.0440 Canadian Dollar"
"1971","1.0100 Canadian Dollar"
"1972","0.9910 Canadian Dollar"
"1973","1.0000 Canadian Dollar"
"1974","0.9780 Canadian Dollar"
"1975","1.0170 Canadian Dollar"
"1976","0.9860 Canadian Dollar"
"1977","1.0630 Canadian Dollar"
"1978","1.1400 Canadian Dollar"
"1979","1.1600 Canadian Dollar"
"1980","1.1690 Canadian Dollar"
"1981","1.1990 Canadian Dollar"
"1982","1.2340 Canadian Dollar"
"1983","1.2330 Canadian Dollar"
