"Citation: Lawrence H. Officer, 'Exchange Rates Between the United States Dollar and Forty-one Currencies,' MeasuringWorth, 2025. "
The table(s) present the price of one United States Dollar.
"Argentina, 1600 - 2025"
"1985","2.2008 Singapore Dollar"
"1986","2.1783 Singapore Dollar"
"1987","2.1059 Singapore Dollar"
"1988","2.0133 Singapore Dollar"
"1989","1.9511 Singapore Dollar"
"1990","1.8134 Singapore Dollar"
"1991","1.7283 Singapore Dollar"
"1992","1.6294 Singapore Dollar"
"1993","1.6158 Singapore Dollar"
"1994","1.5275 Singapore Dollar"
"1995","1.4171 Singapore Dollar"
"1996","1.4100 Singapore Dollar"
"1997","1.4857 Singapore Dollar"
"1998","1.6722 Singapore Dollar"
"1999","1.6951 Singapore Dollar"
"2000","1.7250 Singapore Dollar"
"2001","1.7930 Singapore Dollar"
"2002","1.7908 Singapore Dollar"
"2003","1.7429 Singapore Dollar"
"2004","1.6902 Singapore Dollar"
"2005","1.6639 Singapore Dollar"
"2006","1.5882 Singapore Dollar"
"2007","1.5065 Singapore Dollar"
"2008","1.4140 Singapore Dollar"
"2009","1.4543 Singapore Dollar"
"2010","1.3629 Singapore Dollar"
"2011","1.2570 Singapore Dollar"
"2012","1.2492 Singapore Dollar"
"2013","1.2511 Singapore Dollar"
"2014","1.2665 Singapore Dollar"
"2015","1.3746 Singapore Dollar"
"2016","1.3815 Singapore Dollar"
"2017","1.3809 Singapore Dollar"
"2018","1.3488 Singapore Dollar"
"2019","1.3600 Singapore Dollar"
"2020","1.3800 Singapore Dollar"
"2021","1.3435 Singapore Dollar"
"2022","1.3787 Singapore Dollar"
"2023","1.3428 Singapore Dollar"
"2024","1.3365 Singapore Dollar"
"South Africa, 1600 - 2025"
"1928","0.2065 South African Pounds"
"1929","0.2069 South African Pounds"
"1930","0.2067 South African Pounds"
"1931","0.2080 South African Pounds"
"1932","0.2098 South African Pounds"
"1933","0.2410 South African Pounds"
"1934","0.2007 South African Pounds"
"1935","0.2063 South African Pounds"
"1936","0.2034 South African Pounds"
"1937","0.2042 South African Pounds"
"1938","0.2065 South African Pounds"
"1939","0.2272 South African Pounds"
"1940","0.2513 South African Pounds"
"1941","0.2513 South African Pounds"
"1942","0.2513 South African Pounds"
"1943","0.2513 South African Pounds"
"1944","0.2513 South African Pounds"
"1945","0.2506 South African Pounds"
"1946","0.2497 South African Pounds"
"1947","0.2495 South African Pounds"
"1948","0.2495 South African Pounds"
"1949","0.2728 South African Pounds"
"1950","0.3592 South African Pounds"
"1951","0.3593 South African Pounds"
"1952","0.3595 South African Pounds"
"1953","0.3569 South African Pounds"
"1954","0.3574 South African Pounds"
"1955","0.3596 South African Pounds"
"1956","0.3590 South African Pounds"
"1957","0.3593 South African Pounds"
"1958","0.3572 South African Pounds"
"1959","0.3574 South African Pounds"
"1960","0.3575 South African Pounds"
"1961","0.7164 Rand"
"1962","0.7149 Rand"
"1963","0.7169 Rand"
"1964","0.7190 Rand"
"1965","0.7180 Rand"
"1966","0.7188 Rand"
"1967","0.7190 Rand"
"1968","0.7189 Rand"
"1969","0.7199 Rand"
"1970","0.7182 Rand"
"1971","0.7128 Rand"
"1972","0.7726 Rand"
"1973","0.6950 Rand"
"1974","0.6804 Rand"
"1975","0.7328 Rand"
"1976","0.8707 Rand"
"1977","0.8696 Rand"
"1978","0.8695 Rand"
"1979","0.8423 Rand"
"1980","0.7780 Rand"
"1981","0.8713 Rand"
"1982","1.0835 Rand"
"1983","1.1130 Rand"
"1984","1.4382 Rand"
"1985","2.2343 Rand"
"1986","2.2919 Rand"
"1987","2.0385 Rand"
"1988","2.2770 Rand"
"1989","2.6214 Rand"
"1990","2.5885 Rand"
"1991","2.7633 Rand"
"1992","2.8524 Rand"
"1993","3.2729 Rand"
"1994","3.5526 Rand"
"1995","3.6284 Rand"
"1996","4.3011 Rand"
"1997","4.6072 Rand"
"1998","5.5417 Rand"
"1999","6.1191 Rand"
"2000","6.9468 Rand"
"2001","8.6093 Rand"
"2002","10.5176 Rand"
"2003","7.5550 Rand"
"2004","6.4402 Rand"
"2005","6.3606 Rand"
"2006","6.7668 Rand"
"2007","7.0477 Rand"
"2008","8.2480 Rand"
"2009","8.4117 Rand"
"2010","7.3161 Rand"
"2011","7.2510 Rand"
"2012","8.2014 Rand"
"2013","9.6436 Rand"
"2014","10.8420 Rand"
"2015","12.7645 Rand"
"2016","14.7096 Rand"
"2017","13.3338 Rand"
"2018","13.2409 Rand"
"2019","14.4500 Rand"
"2020","16.4600 Rand"
"2021","14.7787 Rand"
"2022","16.3559 Rand"
"2023","18.4502 Rand"
"2024","18.3378 Rand"
"Spain, 1600 - 2025"
"1850","5.0000 Peseta"
"1851","5.0000 Peseta"
"1852","5.0000 Peseta"
"1853","4.9000 Peseta"
"1854","4.9000 Peseta"
"1855","5.0000 Peseta"
"1856","5.0000 Peseta"
"1857","5.0000 Peseta"
"1858","5.1000 Peseta"
"1859","5.0000 Peseta"
"1860","4.9000 Peseta"
"1861","5.0000 Peseta"
"1862","5.0000 Peseta"
"1863","5.0000 Peseta"
"1864","5.1000 Peseta"
"1865","5.0000 Peseta"
"1866","5.0000 Peseta"
"1867","5.0000 Peseta"
"1868","5.1000 Peseta"
"1869","5.0000 Peseta"
"1870","5.0000 Peseta"
"1871","4.9000 Peseta"
"1872","5.0000 Peseta"
"1873","5.1000 Peseta"
"1874","5.1000 Peseta"
"1875","5.1000 Peseta"
"1876","5.1000 Peseta"
"1877","5.2000 Peseta"
"1878","5.2000 Peseta"
"1879","5.2000 Peseta"
"1880","5.1000 Peseta"
"1881","5.2000 Peseta"
"1882","5.3000 Peseta"
"1883","5.3000 Peseta"
"1884","5.2000 Peseta"
"1885","5.3000 Peseta"
"1886","5.3000 Peseta"
"1887","5.2000 Peseta"
"1888","5.3000 Peseta"
"1889","5.4000 Peseta"
"1890","5.4000 Peseta"
"1891","5.5000 Peseta"
"1892","6.0000 Peseta"
"1893","6.2000 Peseta"
"1894","6.2000 Peseta"
"1895","6.0000 Peseta"
"1896","6.3000 Peseta"
"1897","6.7000 Peseta"
"1898","8.1000 Peseta"
"1899","6.5000 Peseta"
"1900","6.7000 Peseta"
"1901","7.2000 Peseta"
"1902","7.0000 Peseta"
"1903","7.0000 Peseta"
"1904","7.1000 Peseta"
"1905","6.8000 Peseta"
"1906","5.9000 Peseta"
"1907","5.8000 Peseta"
"1908","5.8000 Peseta"
"1909","5.6000 Peseta"
"1910","5.6000 Peseta"
"1911","5.6000 Peseta"
"1912","5.6000 Peseta"
"1913","5.6000 Peseta"
"1914","5.4000 Peseta"
"1915","5.2654 Peseta"
"1916","5.0032 Peseta"
"1917","4.4229 Peseta"
"1918","4.0587 Peseta"
"1919","5.0446 Peseta"
"1920","6.2743 Peseta"
"1921","7.3901 Peseta"
"1922","6.4588 Peseta"
"1923","6.9190 Peseta"
"1924","7.4977 Peseta"
"1925","6.9714 Peseta"
"1926","6.7133 Peseta"
"1927","5.8619 Peseta"
"1928","6.0262 Peseta"
"1929","6.8105 Peseta"
"1930","8.5712 Peseta"
"1931","10.4764 Peseta"
"1932","12.4319 Peseta"
"1933","9.3293 Peseta"
"1934","7.3448 Peseta"
"1935","7.3109 Peseta"
"1936","8.1210 Peseta"
"1937","16.5218 Peseta"
"1938","17.8571 Peseta"
"1939","9.4072 Peseta"
"1940","10.7277 Peseta"
"1941","10.9529 Peseta"
"1946","10.9500 Peseta"
"1947","10.9500 Peseta"
"1948","10.9500 Peseta"
"1958","41.9992 Peseta"
"1959","48.5932 Peseta"
"1960","60.1142 Peseta"
"1961","60.0853 Peseta"
"1962","60.0456 Peseta"
"1963","60.0096 Peseta"
"1964","60.0132 Peseta"
"1965","60.0168 Peseta"
"1966","60.0565 Peseta"
"1967","61.0389 Peseta"
"1968","70.0673 Peseta"
"1969","70.0967 Peseta"
"1970","70.0280 Peseta"
"1971","69.5265 Peseta"
"1972","64.2715 Peseta"
"1973","58.2140 Peseta"
"1974","57.6801 Peseta"
"1975","57.3921 Peseta"
"1976","66.8539 Peseta"
"1977","75.2615 Peseta"
"1978","76.4935 Peseta"
"1979","67.1580 Peseta"
"1980","71.7580 Peseta"
"1981","92.3960 Peseta"
"1982","110.0900 Peseta"
"1983","143.5000 Peseta"
"1984","160.7800 Peseta"
"1985","169.9800 Peseta"
"1986","140.0400 Peseta"
"1987","123.5400 Peseta"
"1988","116.5300 Peseta"
"1989","118.4400 Peseta"
"1990","101.9600 Peseta"
"1991","104.0100 Peseta"
"1992","102.3800 Peseta"
"1993","127.4800 Peseta"
"1994","133.8800 Peseta"
"1995","124.6400 Peseta"
"1996","126.6800 Peseta"
"1997","146.5300 Peseta"
"1998","149.4100 Peseta"
"1999","177.2500 Peseta"
"Sri Lanka, 1600 - 2025"
"1971","5.547 Rupee"
"1972","6.227 Rupee"
"1973","6.364 Rupee"
"1974","6.676 Rupee"
"1975","6.952 Rupee"
"1976","8.398 Rupee"
"1977","8.358 Rupee"
"1978","15.667 Rupee"
"1979","15.570 Rupee"
"1980","16.167 Rupee"
"1981","18.967 Rupee"
"1982","20.756 Rupee"
"1983","23.510 Rupee"
"1984","25.428 Rupee"
"1985","27.187 Rupee"
"1986","27.934 Rupee"
"1987","29.472 Rupee"
"1988","31.820 Rupee"
"1989","35.947 Rupee"
"1990","40.078 Rupee"
"1991","41.200 Rupee"
"1992","44.013 Rupee"
"1993","48.211 Rupee"
"1994","49.170 Rupee"
"1995","51.047 Rupee"
"1996","55.289 Rupee"
"1997","59.026 Rupee"
"1998","65.005 Rupee"
"1999","70.868 Rupee"
"2000","76.964 Rupee"
"2001","89.602 Rupee"
"2002","95.773 Rupee"
"2003","96.541 Rupee"
"2004","101.268 Rupee"
"2005","100.383 Rupee"
"2006","103.940 Rupee"
"2007","110.620 Rupee"
"2008","108.298 Rupee"
"2009","114.909 Rupee"
"2010","112.990 Rupee"
"2011","110.469 Rupee"
"2012","127.539 Rupee"
"2013","129.046 Rupee"
"2014","130.536 Rupee"
"2015","135.869 Rupee"
"2016","145.582 Rupee"
"2017","152.447 Rupee"
"2018","162.465 Rupee"
"2019","178.740 Rupee"
"2020","185.590 Rupee"
"2021","198.764 Rupee"
"2022","320.837 Rupee"
"2023","327.102 Rupee"
"2024","301.703 Rupee"
"Sweden, 1600 - 2025"
"1915","3.8619 Kronor"
"1916","3.4555 Kronor"
"1917","3.0576 Kronor"
"1918","3.0272 Kronor"
"1919","3.9151 Kronor"
"1920","4.8795 Kronor"
"1921","4.3609 Kronor"
"1922","3.8217 Kronor"
"1923","3.7658 Kronor"
"1924","3.7704 Kronor"
"1925","3.7247 Kronor"
"1926","3.7363 Kronor"
"1927","3.7293 Kronor"
"1928","3.7313 Kronor"
"1929","3.7336 Kronor"
"1930","3.7238 Kronor"
"1931","3.9598 Kronor"
"1932","5.4139 Kronor"
"1933","4.5388 Kronor"
"1934","3.8489 Kronor"
"1935","3.9571 Kronor"
"1936","3.9022 Kronor"
"1937","3.9236 Kronor"
"1938","3.9687 Kronor"
"1939","4.1683 Kronor"
"1940","4.2013 Kronor"
"1941","4.1966 Kronor"
"1946","3.8671 Kronor"
"1947","3.5940 Kronor"
"1948","3.5940 Kronor"
"1949","3.9247 Kronor"
"1950","5.1727 Kronor"
"1951","5.1741 Kronor"
"1952","5.1743 Kronor"
"1953","5.1751 Kronor"
"1954","5.1725 Kronor"
"1955","5.1725 Kronor"
"1956","5.1725 Kronor"
"1957","5.1730 Kronor"
"1958","5.1737 Kronor"
"1959","5.1750 Kronor"
"1960","5.1683 Kronor"
"1961","5.1672 Kronor"
"1962","5.1554 Kronor"
"1963","5.1889 Kronor"
"1964","5.1509 Kronor"
"1965","5.1584 Kronor"
"1966","5.1658 Kronor"
"1967","5.1618 Kronor"
"1968","5.1682 Kronor"
"1969","5.1701 Kronor"
"1970","5.1862 Kronor"
"1971","5.1041 Kronor"
"1972","4.7569 Kronor"
"1973","4.3535 Kronor"
"1974","4.4320 Kronor"
"1975","4.1423 Kronor"
"1976","4.3560 Kronor"
"1977","4.4677 Kronor"
"1978","4.5169 Kronor"
"1979","4.2892 Kronor"
"1980","4.2309 Kronor"
"1981","5.0659 Kronor"
"1982","6.2838 Kronor"
"1983","7.6717 Kronor"
"1984","8.2706 Kronor"
"1985","8.6031 Kronor"
"1986","7.1273 Kronor"
"1987","6.3469 Kronor"
"1988","6.1370 Kronor"
"1989","6.4559 Kronor"
"1990","5.9231 Kronor"
"1991","6.0521 Kronor"
"1992","5.8258 Kronor"
"1993","7.7956 Kronor"
"1994","7.7161 Kronor"
"1995","7.1406 Kronor"
"1996","6.7082 Kronor"
"1997","7.6446 Kronor"
"1998","7.9522 Kronor"
"1999","8.2740 Kronor"
"2000","9.1735 Kronor"
"2001","10.3425 Kronor"
"2002","9.7233 Kronor"
"2003","8.0787 Kronor"
"2004","7.3480 Kronor"
"2005","7.4710 Kronor"
"2006","7.3718 Kronor"
"2007","6.7550 Kronor"
"2008","6.5846 Kronor"
"2009","7.6539 Kronor"
"2010","7.2053 Kronor"
"2011","6.4880 Kronor"
"2012","6.7721 Kronor"
"2013","6.5124 Kronor"
"2014","6.8576 Kronor"
"2015","8.4350 Kronor"
"2016","8.5620 Kronor"
"2017","8.5489 Kronor"
"2018","8.6925 Kronor"
"2019","9.4600 Kronor"
"2020","9.2100 Kronor"
"2021","8.5766 Kronor"
"2022","10.1143 Kronor"
"2023","10.6102 Kronor"
"2024","10.5683 Kronor"
"Switzerland, 1600 - 2025"
"1913","5.1990 Franc"
"1914","5.1330 Franc"
"1915","5.3274 Franc"
"1916","5.2202 Franc"
"1917","4.7687 Franc"
"1918","4.3793 Franc"
"1919","5.2679 Franc"
"1920","5.9161 Franc"
"1921","5.7624 Franc"
"1922","5.2452 Franc"
"1923","5.5371 Franc"
"1924","5.4876 Franc"
"1925","5.1742 Franc"
"1926","5.1779 Franc"
"1927","5.1916 Franc"
"1928","5.1922 Franc"
"1929","5.1869 Franc"
"1930","5.1594 Franc"
"1931","5.1544 Franc"
"1932","5.1533 Franc"
"1933","4.0265 Franc"
"1934","3.0896 Franc"
"1935","3.0772 Franc"
"1936","3.3125 Franc"
"1937","4.3596 Franc"
"1938","4.3723 Franc"
"1939","4.4396 Franc"
"1940","4.4100 Franc"
"1941","4.3086 Franc"
"1946","4.2803 Franc"
"1947","4.2803 Franc"
"1948","4.2803 Franc"
"1949","4.2893 Franc"
"1950","4.3222 Franc"
"1951","4.3364 Franc"
"1952","4.3201 Franc"
"1953","4.2888 Franc"
"1954","4.2878 Franc"
"1955","4.2862 Franc"
"1956","4.2855 Franc"
"1957","4.2863 Franc"
"1958","4.2867 Franc"
"1959","4.3212 Franc"
"1960","4.3193 Franc"
"1961","4.3195 Franc"
"1962","4.3245 Franc"
"1963","4.3217 Franc"
"1964","4.3193 Franc"
"1965","4.3279 Franc"
"1966","4.3264 Franc"
"1967","4.3282 Franc"
"1968","4.3161 Franc"
"1969","4.3129 Franc"
"1970","4.3105 Franc"
"1971","4.1110 Franc"
"1972","3.8178 Franc"
"1973","3.1546 Franc"
"1974","2.9684 Franc"
"1975","2.5811 Franc"
"1976","2.4992 Franc"
"1977","2.3973 Franc"
"1978","1.7767 Franc"
"1979","1.6643 Franc"
"1980","1.6772 Franc"
"1981","1.9674 Franc"
"1982","2.0327 Franc"
"1983","2.1006 Franc"
"1984","2.3500 Franc"
"1985","2.4551 Franc"
"1986","1.7979 Franc"
"1987","1.4918 Franc"
"1988","1.4643 Franc"
"1989","1.6369 Franc"
"1990","1.3901 Franc"
"1991","1.4356 Franc"
"1992","1.4064 Franc"
"1993","1.4781 Franc"
"1994","1.3667 Franc"
"1995","1.1812 Franc"
"1996","1.2361 Franc"
"1997","1.4514 Franc"
"1998","1.4506 Franc"
"1999","1.5045 Franc"
"2000","1.6904 Franc"
"2001","1.6891 Franc"
"2002","1.5567 Franc"
"2003","1.3450 Franc"
"2004","1.2428 Franc"
"2005","1.2459 Franc"
"2006","1.2532 Franc"
"2007","1.1999 Franc"
"2008","1.0816 Franc"
"2009","1.0860 Franc"
"2010","1.0432 Franc"
"2011","0.8860 Franc"
"2012","0.9377 Franc"
"2013","0.9269 Franc"
"2014","0.9147 Franc"
"2015","0.9628 Franc"
"2016","0.9854 Franc"
"2017","0.9847 Franc"
"2018","0.9779 Franc"
"2019","0.9900 Franc"
"2020","0.9400 Franc"
"2021","0.9138 Franc"
"2022","0.9549 Franc"
"2023","0.8988 Franc"
"2024","0.8806 Franc"
"Taiwan, 1600 - 2025"
"1984","39.633 Taiwanese Dollar"
"1985","39.889 Taiwanese Dollar"
"1986","37.839 Taiwanese Dollar"
"1987","31.753 Taiwanese Dollar"
"1988","28.636 Taiwanese Dollar"
"1989","26.407 Taiwanese Dollar"
"1990","26.918 Taiwanese Dollar"
"1991","26.759 Taiwanese Dollar"
"1992","25.160 Taiwanese Dollar"
"1993","26.416 Taiwanese Dollar"
"1994","26.465 Taiwanese Dollar"
"1995","26.495 Taiwanese Dollar"
"1996","27.468 Taiwanese Dollar"
"1997","28.775 Taiwanese Dollar"
"1998","33.547 Taiwanese Dollar"
"1999","32.322 Taiwanese Dollar"
"2000","31.260 Taiwanese Dollar"
"2001","33.824 Taiwanese Dollar"
"2002","34.536 Taiwanese Dollar"
"2003","34.405 Taiwanese Dollar"
"2004","33.372 Taiwanese Dollar"
"2005","32.131 Taiwanese Dollar"
"2006","32.506 Taiwanese Dollar"
"2007","32.852 Taiwanese Dollar"
"2008","31.521 Taiwanese Dollar"
"2009","33.020 Taiwanese Dollar"
"2010","31.498 Taiwanese Dollar"
"2011","29.382 Taiwanese Dollar"
"2012","29.558 Taiwanese Dollar"
"2013","29.680 Taiwanese Dollar"
"2014","30.299 Taiwanese Dollar"
"2015","31.744 Taiwanese Dollar"
"2016","32.258 Taiwanese Dollar"
"2017","30.406 Taiwanese Dollar"
"2018","30.129 Taiwanese Dollar"
"2019","30.930 Taiwanese Dollar"
"2020","29.580 Taiwanese Dollar"
"2021","27.932 Taiwanese Dollar"
"2022","29.796 Taiwanese Dollar"
"2023","31.152 Taiwanese Dollar"
"2024","32.106 Taiwanese Dollar"
"Thailand, 1600 - 2025"
"1981","21.731 Baht"
"1982","23.014 Baht"
"1983","22.991 Baht"
"1984","23.582 Baht"
"1985","27.193 Baht"
"1986","26.315 Baht"
"1987","25.775 Baht"
"1988","25.312 Baht"
"1989","25.725 Baht"
"1990","25.609 Baht"
"1991","25.528 Baht"
"1992","25.411 Baht"
"1993","25.333 Baht"
"1994","25.161 Baht"
"1995","24.921 Baht"
"1996","25.359 Baht"
"1997","31.072 Baht"
"1998","41.262 Baht"
"1999","37.887 Baht"
"2000","40.210 Baht"
"2001","44.532 Baht"
"2002","43.019 Baht"
"2003","41.556 Baht"
"2004","40.271 Baht"
"2005","40.252 Baht"
"2006","37.876 Baht"
"2007","32.203 Baht"
"2008","32.962 Baht"
"2009","34.310 Baht"
"2010","31.700 Baht"
"2011","30.462 Baht"
"2012","31.055 Baht"
"2013","30.696 Baht"
"2014","32.461 Baht"
"2015","34.241 Baht"
"2016","35.296 Baht"
"2017","33.940 Baht"
"2018","32.310 Baht"
"2019","31.050 Baht"
"2020","31.290 Baht"
"2021","31.977 Baht"
"2022","35.061 Baht"
"2023","34.802 Baht"
"2024","35.285 Baht"
"United Kingdom, 1600 - 2025"
"1791","0.2195 British Pound"
"1792","0.2239 British Pound"
"1793","0.2218 British Pound"
"1794","0.2106 British Pound"
"1795","0.2209 British Pound"
"1796","0.2333 British Pound"
"1797","0.2254 British Pound"
"1798","0.2279 British Pound"
"1799","0.2420 British Pound"
"1800","0.2199 British Pound"
"1801","0.2283 British Pound"
"1802","0.2230 British Pound"
"1803","0.2202 British Pound"
"1804","0.2197 British Pound"
"1805","0.2300 British Pound"
"1806","0.2256 British Pound"
"1807","0.2260 British Pound"
"1808","0.2162 British Pound"
"1809","0.2186 British Pound"
"1810","0.2326 British Pound"
"1811","0.2620 British Pound"
"1812","0.2765 British Pound"
"1813","0.2667 British Pound"
"1814","0.2358 British Pound"
"1815","0.2039 British Pound"
"1816","0.1914 British Pound"
"1817","0.2173 British Pound"
"1818","0.2222 British Pound"
"1819","0.2216 British Pound"
"1820","0.2211 British Pound"
"1821","0.2074 British Pound"
"1822","0.2009 British Pound"
"1823","0.2083 British Pound"
"1824","0.2055 British Pound"
"1825","0.2070 British Pound"
"1826","0.2033 British Pound"
"1827","0.2026 British Pound"
"1828","0.2029 British Pound"
"1829","0.2057 British Pound"
"1830","0.2100 British Pound"
"1831","0.2058 British Pound"
"1832","0.2058 British Pound"
"1833","0.2089 British Pound"
"1834","0.2156 British Pound"
"1835","0.2062 British Pound"
"1836","0.2076 British Pound"
"1837","0.1961 British Pound"
"1838","0.2047 British Pound"
"1839","0.2006 British Pound"
"1840","0.2000 British Pound"
"1841","0.2004 British Pound"
"1842","0.2085 British Pound"
"1843","0.2089 British Pound"
"1844","0.2058 British Pound"
"1845","0.2053 British Pound"
"1846","0.2076 British Pound"
"1847","0.2086 British Pound"
"1848","0.2054 British Pound"
"1849","0.2077 British Pound"
"1850","0.2053 British Pound"
"1851","0.2035 British Pound"
"1852","0.2040 British Pound"
"1853","0.2046 British Pound"
"1854","0.2048 British Pound"
"1855","0.2047 British Pound"
"1856","0.2037 British Pound"
"1857","0.2045 British Pound"
"1858","0.2058 British Pound"
"1859","0.2041 British Pound"
"1860","0.2062 British Pound"
"1861","0.2095 British Pound"
"1862","0.1799 British Pound"
"1863","0.1413 British Pound"
"1864","0.1003 British Pound"
"1865","0.1300 British Pound"
"1866","0.1454 British Pound"
"1867","0.1481 British Pound"
"1868","0.1465 British Pound"
"1869","0.1542 British Pound"
"1870","0.1790 British Pound"
"1871","0.1832 British Pound"
"1872","0.1837 British Pound"
"1873","0.1803 British Pound"
"1874","0.1845 British Pound"
"1875","0.1789 British Pound"
"1876","0.1844 British Pound"
"1877","0.1970 British Pound"
"1878","0.2045 British Pound"
"1879","0.2060 British Pound"
"1880","0.2064 British Pound"
"1881","0.2070 British Pound"
"1882","0.2053 British Pound"
"1883","0.2062 British Pound"
"1884","0.2060 British Pound"
"1885","0.2059 British Pound"
"1886","0.2057 British Pound"
"1887","0.2061 British Pound"
"1888","0.2053 British Pound"
"1889","0.2054 British Pound"
"1890","0.2057 British Pound"
"1891","0.2057 British Pound"
"1892","0.2052 British Pound"
"1893","0.2056 British Pound"
"1894","0.2050 British Pound"
"1895","0.2046 British Pound"
"1896","0.2053 British Pound"
"1897","0.2056 British Pound"
"1898","0.2063 British Pound"
"1899","0.2056 British Pound"
"1900","0.2056 British Pound"
"1901","0.2052 British Pound"
"1902","0.2053 British Pound"
"1903","0.2056 British Pound"
"1904","0.2054 British Pound"
"1905","0.2056 British Pound"
"1906","0.2061 British Pound"
"1907","0.2058 British Pound"
"1908","0.2055 British Pound"
"1909","0.2052 British Pound"
"1910","0.2056 British Pound"
"1911","0.2057 British Pound"
"1912","0.2055 British Pound"
"1913","0.2054 British Pound"
"1914","0.2028 British Pound"
"1915","0.2102 British Pound"
"1916","0.2098 British Pound"
"1917","0.2099 British Pound"
"1918","0.2099 British Pound"
"1919","0.2259 British Pound"
"1920","0.2729 British Pound"
"1921","0.2598 British Pound"
"1922","0.2258 British Pound"
"1923","0.2186 British Pound"
"1924","0.2264 British Pound"
"1925","0.2071 British Pound"
"1926","0.2058 British Pound"
"1927","0.2057 British Pound"
"1928","0.2055 British Pound"
"1929","0.2059 British Pound"
"1930","0.2057 British Pound"
"1931","0.2205 British Pound"
"1932","0.2852 British Pound"
"1933","0.2360 British Pound"
"1934","0.1985 British Pound"
"1935","0.2040 British Pound"
"1936","0.2012 British Pound"
"1937","0.2023 British Pound"
"1938","0.2045 British Pound"
"1939","0.2255 British Pound"
"1940","0.2611 British Pound"
"1941","0.2480 British Pound"
"1942","0.2478 British Pound"
"1943","0.2478 British Pound"
"1944","0.2478 British Pound"
"1945","0.2481 British Pound"
"1946","0.2480 British Pound"
"1947","0.2482 British Pound"
"1948","0.2481 British Pound"
"1949","0.2712 British Pound"
"1950","0.3570 British Pound"
"1951","0.3571 British Pound"
"1952","0.3580 British Pound"
"1953","0.3555 British Pound"
"1954","0.3560 British Pound"
"1955","0.3583 British Pound"
"1956","0.3577 British Pound"
"1957","0.3580 British Pound"
"1958","0.3559 British Pound"
"1959","0.3560 British Pound"
"1960","0.3561 British Pound"
"1961","0.3569 British Pound"
"1962","0.3561 British Pound"
"1963","0.3571 British Pound"
"1964","0.3582 British Pound"
"1965","0.3577 British Pound"
"1966","0.3580 British Pound"
"1967","0.3636 British Pound"
"1968","0.4177 British Pound"
"1969","0.4184 British Pound"
"1970","0.4174 British Pound"
"1971","0.4092 British Pound"
"1972","0.3998 British Pound"
"1973","0.4080 British Pound"
"1974","0.4274 British Pound"
"1975","0.4500 British Pound"
"1976","0.5540 British Pound"
"1977","0.5731 British Pound"
"1978","0.5214 British Pound"
"1979","0.4713 British Pound"
"1980","0.4299 British Pound"
"1981","0.4941 British Pound"
"1982","0.5721 British Pound"
"1983","0.6596 British Pound"
"1984","0.7479 British Pound"
"1985","0.7710 British Pound"
"1986","0.6812 British Pound"
"1987","0.6098 British Pound"
"1988","0.5615 British Pound"
"1989","0.6105 British Pound"
"1990","0.5605 British Pound"
"1991","0.5659 British Pound"
"1992","0.5663 British Pound"
"1993","0.6658 British Pound"
"1994","0.6527 British Pound"
"1995","0.6333 British Pound"
"1996","0.6406 British Pound"
"1997","0.6105 British Pound"
"1998","0.6035 British Pound"
"1999","0.6184 British Pound"
"2000","0.6598 British Pound"
"2001","0.6946 British Pound"
"2002","0.6656 British Pound"
"2003","0.6117 British Pound"
"2004","0.5456 British Pound"
"2005","0.5493 British Pound"
"2006","0.5425 British Pound"
"2007","0.4995 British Pound"
"2008","0.5392 British Pound"
"2009","0.6385 British Pound"
"2010","0.6472 British Pound"
"2011","0.6233 British Pound"
"2012","0.6307 British Pound"
"2013","0.6393 British Pound"
"2014","0.6066 British Pound"
"2015","0.6542 British Pound"
"2016","0.7406 British Pound"
"2017","0.7770 British Pound"
"2018","0.7496 British Pound"
"2019","0.7800 British Pound"
"2020","0.7800 British Pound"
"2021","0.7300 British Pounds"
"2021","0.7300 British Pounds"
"2022","0.8113 British Pounds"
"2023","0.8045 British Pounds"
"2024","0.7824 British Pounds"
"Venezuela, 1600 - 2025"
"1948","3.750 Bolivars"
"1949","3.354 Bolivars"
"1950","3.754 Bolivars"
"1951","3.341 Bolivars"
"1952","3.301 Bolivars"
"1953","3.204 Bolivars"
"1954","3.668 Bolivars"
"1955","3.227 Bolivars"
"1956","3.241 Bolivars"
"1957","3.350 Bolivars"
"1958","3.350 Bolivars"
"1959","3.350 Bolivars"
"1960","3.350 Bolivars"
"1961","3.350 Bolivars"
"1962","3.350 Bolivars"
"1963","3.350 Bolivars"
"1964","4.399 Bolivars"
"1965","4.450 Bolivars"
"1966","4.450 Bolivars"
"1967","4.450 Bolivars"
"1968","4.450 Bolivars"
"1969","4.450 Bolivars"
"1970","4.450 Bolivars"
"1971","4.447 Bolivars"
"1972","4.400 Bolivars"
"1973","4.304 Bolivars"
"1974","4.285 Bolivars"
"1975","4.285 Bolivars"
"1976","4.290 Bolivars"
"1977","4.293 Bolivars"
"1978","4.293 Bolivars"
"1979","4.293 Bolivars"
"1980","4.293 Bolivars"
"1981","4.293 Bolivars"
"1982","4.293 Bolivars"
"1983","4.297 Bolivars"
"1984","7.017 Bolivars"
"1985","7.500 Bolivars"
"1986","8.083 Bolivars"
"1987","14.500 Bolivars"
"1988","14.500 Bolivars"
"1989","34.681 Bolivars"
"1990","46.901 Bolivars"
"1991","56.816 Bolivars"
"1992","68.376 Bolivars"
"1993","90.826 Bolivars"
