country,year,currency
"Belgium, 1600 - 2025",1936,5.9113 Belgas
"Belgium, 1600 - 2025",1937,5.9255 Belgas
"Belgium, 1600 - 2025",1938,5.9192 Belgas
"Belgium, 1600 - 2025",1939,5.9341 Belgas
"Belgium, 1600 - 2025",1940,5.9241 Belgas
"Belgium, 1600 - 2025",1945,43.7445 Francs
"Belgium, 1600 - 2025",1946,43.8039 Francs
"Belgium, 1600 - 2025",1947,43.8270 Francs
"Belgium, 1600 - 2025",1948,43.8289 Francs
"Belgium, 1600 - 2025",1949,45.4360 Francs
"Belgium, 1600 - 2025",1950,50.2311 Francs
"Belgium, 1600 - 2025",1951,50.3550 Francs
"Belgium, 1600 - 2025",1952,50.3069 Francs
"Belgium, 1600 - 2025",1953,49.9775 Francs
"Belgium, 1600 - 2025",1954,50.0626 Francs
"Belgium, 1600 - 2025",1955,50.2386 Francs
"Belgium, 1600 - 2025",1956,49.9251 Francs
"Belgium, 1600 - 2025",1957,50.2361 Francs
"Belgium, 1600 - 2025",1958,49.8902 Francs
"Belgium, 1600 - 2025",1959,49.9700 Francs
"Belgium, 1600 - 2025",1960,49.8679 Francs
"Belgium, 1600 - 2025",1961,49.8703 Francs
"Belgium, 1600 - 2025",1962,49.7686 Francs
"Belgium, 1600 - 2025",1963,49.8703 Francs
"Belgium, 1600 - 2025",1964,49.7537 Francs
"Belgium, 1600 - 2025",1965,49.6426 Francs
"Belgium, 1600 - 2025",1966,49.8331 Francs
"Belgium, 1600 - 2025",1967,49.6894 Francs
"Belgium, 1600 - 2025",1968,49.9351 Francs
"Belgium, 1600 - 2025",1969,50.1454 Francs
"Belgium, 1600 - 2025",1970,49.6549 Francs
"Belgium, 1600 - 2025",1971,48.5484 Francs
"Belgium, 1600 - 2025",1972,44.0218 Francs
"Belgium, 1600 - 2025",1973,38.8184 Francs
"Belgium, 1600 - 2025",1974,38.8908 Francs
"Belgium, 1600 - 2025",1975,36.6932 Francs
"Belgium, 1600 - 2025",1976,38.5788 Francs
"Belgium, 1600 - 2025",1977,35.8282 Francs
"Belgium, 1600 - 2025",1978,31.4376 Francs
"Belgium, 1600 - 2025",1979,29.3420 Francs
"Belgium, 1600 - 2025",1980,29.2370 Francs
"Belgium, 1600 - 2025",1981,37.1940 Francs
"Belgium, 1600 - 2025",1982,45.7800 Francs
"Belgium, 1600 - 2025",1983,51.1210 Francs
"Belgium, 1600 - 2025",1984,57.7490 Francs
"Belgium, 1600 - 2025",1985,59.3360 Francs
"Belgium, 1600 - 2025",1986,44.6640 Francs
"Belgium, 1600 - 2025",1987,37.3580 Francs
"Belgium, 1600 - 2025",1988,36.7850 Francs
"Belgium, 1600 - 2025",1989,39.4090 Francs
"Belgium, 1600 - 2025",1990,33.4240 Francs
"Belgium, 1600 - 2025",1991,34.1950 Francs
"Belgium, 1600 - 2025",1992,32.1480 Francs
"Belgium, 1600 - 2025",1993,34.5810 Francs
"Belgium, 1600 - 2025",1994,33.4260 Francs
"Belgium, 1600 - 2025",1995,29.4720 Francs
"Belgium, 1600 - 2025",1996,30.9700 Francs
"Belgium, 1600 - 2025",1997,35.8070 Francs
"Belgium, 1600 - 2025",1998,36.3100 Francs
"Belgium, 1600 - 2025",1999,42.9740 Francs
,,
"Brazil, 1600 - 2025",1916,4.2100 Milreis
"Brazil, 1600 - 2025",1917,3.9957 Milreis
"Brazil, 1600 - 2025",1918,3.9505 Milreis
"Brazil, 1600 - 2025",1919,3.7404 Milreis
"Brazil, 1600 - 2025",1920,4.4419 Milreis
"Brazil, 1600 - 2025",1921,7.6220 Milreis
"Brazil, 1600 - 2025",1922,7.7228 Milreis
"Brazil, 1600 - 2025",1923,9.7766 Milreis
"Brazil, 1600 - 2025",1924,9.1405 Milreis
"Brazil, 1600 - 2025",1925,8.1993 Milreis
"Brazil, 1600 - 2025",1926,6.9273 Milreis
"Brazil, 1600 - 2025",1927,8.4472 Milreis
"Brazil, 1600 - 2025",1928,8.3516 Milreis
"Brazil, 1600 - 2025",1929,8.4694 Milreis
"Brazil, 1600 - 2025",1930,9.3339 Milreis
"Brazil, 1600 - 2025",1931,14.2268 Milreis
"Brazil, 1600 - 2025",1932,14.0404 Milreis
"Brazil, 1600 - 2025",1933,12.5581 Milreis
"Brazil, 1600 - 2025",1934,11.8669 Milreis
"Brazil, 1600 - 2025",1935,12.0559 Milreis
"Brazil, 1600 - 2025",1936,11.6712 Milreis
"Brazil, 1600 - 2025",1937,11.5691 Milreis
"Brazil, 1600 - 2025",1938,17.1122 Milreis
"Brazil, 1600 - 2025",1939,16.6592 Milreis
"Brazil, 1600 - 2025",1940,16.5120 Milreis
"Brazil, 1600 - 2025",1941,16.5085 Milreis
"Brazil, 1600 - 2025",1948,18.9906 Old Cruzeiros
"Brazil, 1600 - 2025",1949,18.9906 Old Cruzeiros
"Brazil, 1600 - 2025",1950,18.9906 Old Cruzeiros
"Brazil, 1600 - 2025",1951,18.9906 Old Cruzeiros
"Brazil, 1600 - 2025",1952,18.9906 Old Cruzeiros
"Brazil, 1600 - 2025",1953,42.9788 Old Cruzeiros
"Brazil, 1600 - 2025",1954,60.9699 Old Cruzeiros
"Brazil, 1600 - 2025",1955,70.9649 Old Cruzeiros
"Brazil, 1600 - 2025",1956,69.9654 Old Cruzeiros
"Brazil, 1600 - 2025",1957,75.9625 Old Cruzeiros
"Brazil, 1600 - 2025",1958,128.9360 Old Cruzeiros
"Brazil, 1600 - 2025",1959,150.9250 Old Cruzeiros
"Brazil, 1600 - 2025",1960,186.9080 Old Cruzeiros
"Brazil, 1600 - 2025",1961,269.8670 Old Cruzeiros
"Brazil, 1600 - 2025",1962,387.8080 Old Cruzeiros
